"filename", "language", "HTML", "JavaScript", "Markdown", "CSS", "JSON", "comment", "blank", "total"
"d:\maturski\foodsprint_backend\README.md", "Markdown", 0, 0, -38, 0, 0, 0, -33, -71
"d:\maturski\foodsprint_backend\config\allowedOrigins.js", "JavaScript", 0, -7, 0, 0, 0, 0, -2, -9
"d:\maturski\foodsprint_backend\config\corsOptions.js", "JavaScript", 0, -13, 0, 0, 0, 0, -2, -15
"d:\maturski\foodsprint_backend\config\dbConn.js", "JavaScript", 0, -9, 0, 0, 0, 0, -2, -11
"d:\maturski\foodsprint_backend\controllers\authController.js", "JavaScript", 0, -78, 0, 0, 0, -11, -21, -110
"d:\maturski\foodsprint_backend\controllers\menuController.js", "JavaScript", 0, -47, 0, 0, 0, 0, -14, -61
"d:\maturski\foodsprint_backend\controllers\ordersController.js", "JavaScript", 0, -74, 0, 0, 0, -24, -25, -123
"d:\maturski\foodsprint_backend\controllers\restoraniController.js", "JavaScript", 0, -89, 0, 0, 0, -27, -29, -145
"d:\maturski\foodsprint_backend\controllers\usersController.js", "JavaScript", 0, -100, 0, 0, 0, -35, -40, -175
"d:\maturski\foodsprint_backend\models\Menu.js", "JavaScript", 0, -18, 0, 0, 0, 0, -4, -22
"d:\maturski\foodsprint_backend\models\Order.js", "JavaScript", 0, -17, 0, 0, 0, 0, -3, -20
"d:\maturski\foodsprint_backend\models\Restoran.js", "JavaScript", 0, -36, 0, 0, 0, 0, -5, -41
"d:\maturski\foodsprint_backend\models\User.js", "JavaScript", 0, -22, 0, 0, 0, 0, -3, -25
"d:\maturski\foodsprint_backend\package-lock.json", "JSON", 0, 0, 0, 0, -14761, 0, -1, -14762
"d:\maturski\foodsprint_backend\package.json", "JSON", 0, 0, 0, 0, -48, 0, -1, -49
"d:\maturski\foodsprint_backend\public\css\style.css", "CSS", 0, 0, 0, -16, 0, 0, -2, -18
"d:\maturski\foodsprint_backend\routes\authRoutes.js", "JavaScript", 0, -8, 0, 0, 0, 0, -5, -13
"d:\maturski\foodsprint_backend\routes\menuRoutes.js", "JavaScript", 0, -12, 0, 0, 0, 0, -4, -16
"d:\maturski\foodsprint_backend\routes\orderRoutes.js", "JavaScript", 0, -23, 0, 0, 0, -1, -7, -31
"d:\maturski\foodsprint_backend\routes\register.js", "JavaScript", 0, -23, 0, 0, 0, -5, -10, -38
"d:\maturski\foodsprint_backend\routes\restoranRoutes.js", "JavaScript", 0, -13, 0, 0, 0, 0, -4, -17
"d:\maturski\foodsprint_backend\routes\root.js", "JavaScript", 0, -7, 0, 0, 0, 0, -3, -10
"d:\maturski\foodsprint_backend\routes\userRoutes.js", "JavaScript", 0, -12, 0, 0, 0, 0, -4, -16
"d:\maturski\foodsprint_backend\server.js", "JavaScript", 0, -50, 0, 0, 0, -25, -16, -91
"d:\maturski\foodsprint_backend\utils\cloudinary.js", "JavaScript", 0, -3, 0, 0, 0, 0, -2, -5
"d:\maturski\foodsprint_backend\utils\multer.js", "JavaScript", 0, -13, 0, 0, 0, -1, -2, -16
"d:\maturski\foodsprint_backend\views\404.html", "HTML", -14, 0, 0, 0, 0, 0, 0, -14
"d:\maturski\foodsprint_backend\views\index.html", "HTML", -13, 0, 0, 0, 0, 0, 0, -13
"Total", "-", -27, -674, -38, -16, -14809, -129, -244, -15937
