"filename", "language", "JavaScript", "comment", "blank", "total"
"d:\maturski\foodsprint_backend\controllers\authController.js", "JavaScript", 78, 11, 21, 110
"d:\maturski\foodsprint_backend\controllers\menuController.js", "JavaScript", 47, 0, 14, 61
"d:\maturski\foodsprint_backend\controllers\ordersController.js", "JavaScript", 74, 24, 25, 123
"d:\maturski\foodsprint_backend\controllers\restoraniController.js", "JavaScript", 89, 27, 29, 145
"d:\maturski\foodsprint_backend\controllers\usersController.js", "JavaScript", 100, 35, 40, 175
"d:\maturski\foodsprint_backend\middleware\errorHandler.js", "JavaScript", -9, 0, -5, -14
"d:\maturski\foodsprint_backend\middleware\logger.js", "JavaScript", -26, 0, -5, -31
"d:\maturski\foodsprint_backend\middleware\loginLimiter.js", "JavaScript", -20, 0, -3, -23
"d:\maturski\foodsprint_backend\middleware\verifyJWT.js", "JavaScript", -16, 0, -6, -22
"Total", "-", 317, 97, 110, 524
